truck,car,motor,bus,train,build,sky,wall,vaget,bike,road,terrain,pole,bridge,person,traffic sign,side walk,traffic light,rider,lat,lng
0.001157761,0.040897369,0.004840851,0.008407593,0.011449814,0.160121918,0.081022263,0.024032593,0.623464584,0.000402451,0.030509949,0.004283905,4.20E-05,0.002723694,0.007074356,3.62E-05,0.000331879,9.73E-05,8.01E-05,113.9302769,22.52646486
,0.009160995,0.000423431,0.000463486,0.000780106,0.118970871,0.488958359,0.004873276,0.099634171,0.005716324,0.149074554,0.010032654,0.003248215,0.086490631,0.00062561,0.001541138,0.020648956,0.000242233,9.16E-05,114.0294673,22.62372881
9.54E-06,0.061088562,0.000185013,7.63E-06,,0.037855148,0.409898758,9.73E-05,0.37182045,,0.101455688,0.013727188,0.001024246,0.001716614,9.54E-06,0.00066185,0.001409531,9.54E-06,,113.9475842,22.58365798
0.031898499,0.005655289,,0.004894257,1.91E-06,0.224458694,0.33953476,,0.242975235,,0.082010269,0.000801086,0.006189346,0.062206268,,1.53E-05,,0.000335693,,113.8116589,22.71979978
0.031478882,0.010398865,2.86E-05,,,0.0271492,0.538785934,0.00271225,0.174539566,7.82E-05,0.169599533,0.001447678,0.010652542,0.031047821,3.05E-05,0.000204086,0.002450943,0.000371933,,113.9022498,22.51943733
,5.72E-06,3.24E-05,,,0.110855103,0.442539215,0.000297546,0.250663757,0.000448227,0.114051819,0.06536293,0.007486343,0.00135994,3.81E-05,0.002696991,0.005123138,,1.53E-05,113.9081641,22.52139594
1.91E-06,0.00227356,2.48E-05,5.72E-06,,4.01E-05,0.312200546,,0.48160553,3.05E-05,0.163022995,0.024204254,0.006942749,0.001054764,5.72E-06,0.002214432,0.007349014,,,114.0543358,22.64536635
0.000150681,0.050848007,,,3.81E-06,0.04776001,0.337385178,0.075611115,0.364088058,,0.078636169,0.010658264,0.004249573,0.018297195,5.91E-05,0.002391815,0.010765076,7.25E-05,,113.9268507,22.48620556
0.046161652,0.063049316,0.000133514,,,0.460432053,0.268768311,0.008045197,0.001091003,0.011844635,0.092857361,,0.003929138,0.000217438,0.009103775,0.00100708,0.034248352,9.54E-06,7.82E-05,114.0391138,22.65723421
0.001146317,0.003248215,,1.72E-05,,0.050828934,0.474931717,0.002279282,0.123659134,,0.210700989,0.004507065,0.000898361,0.120382309,0.001693726,0.002470016,0.004179001,3.43E-05,,113.8346902,22.645373
1.91E-06,9.16E-05,,,,0.001422882,0.623744965,,0.13769722,,0.184152603,0.004249573,0.01190567,0.010400772,1.72E-05,0.005064011,0.021829605,0.000398636,,113.828653,22.61577405
7.63E-06,0.018291473,0.000360489,,,0.121618271,0.343093872,,0.315219879,0.000450134,0.141130447,0.058431625,0.00053215,4.58E-05,,0.000759125,0.000879288,,0.000156403,114.0381671,22.59965574
0.000486374,0.024440765,0.002729416,3.43E-05,,0.399427414,0.031415939,,0.312885284,0.030414581,0.082593918,,0.008243561,0.043670654,0.031602859,0.003219604,0.026893616,0.001502991,0.001415253,114.083889,22.5454027
,0.004999161,2.86E-05,,,0.369792938,0.104825974,,0.263259888,0.001449585,0.105951309,0.000150681,0.00551796,0.120586395,5.72E-05,4.20E-05,0.024263382,3.24E-05,1.91E-05,114.0534608,22.62511624
0.009752274,0.012407303,0.005170822,0.000110626,,0.055768967,0.539228439,3.81E-06,0.161325455,0.001300812,0.0555439,0.084970474,0.002309799,0.007291794,3.81E-06,0.000579834,0.065195084,1.34E-05,,113.8781635,22.51202335
2.29E-05,0.000125885,,,,0.050830841,0.147485733,7.44E-05,0.619373322,,0.139783859,0.012525558,0.003232956,0.010572433,,0.003553391,0.013395309,,,113.9653086,22.53265548
0.001325607,0.002773285,,,0.000591278,0.206979752,0.46972847,0.068031311,0.049476624,4.20E-05,0.077573776,0.018028259,0.022966385,0.066808701,0.000169754,0.004114151,0.012121201,0.000246048,,113.8683014,22.49943421
,0.001991272,5.72E-06,0.000120163,,0.155235291,0.00321579,,0.596134186,0.002765656,0.174957275,0.000259399,0.001564026,0.045986176,0.000366211,,0.018375397,,,114.0472687,22.53938848
0.730503082,0.021755219,,0.057661057,6.68E-05,0.159664154,0.000434875,,0.008520126,,0.003715515,,6.10E-05,0.001800537,,0.016794205,,,,113.9669189,22.57721724
0.000492096,0.021459579,0.000839233,0.000974655,,0.078796387,0.343704224,,0.322885513,0.000774384,0.162992477,0.02596283,0.006267548,0.014041901,0.005743027,0.001533508,0.013513565,0.0001297,0.000865936,114.1153415,22.65314848
5.72E-06,0.001913071,7.63E-06,0.000125885,,0.088460922,0.492431641,,0.206871033,0.001304626,0.141897202,0.011837006,0.002841949,0.044599533,0.000102997,7.82E-05,0.008489609,9.54E-06,,113.843156,22.60164086
